ID,Date,Date_Heisei,Integer_Heisei,Note
1,1989-01-11,平成元年01月11日,10111,
2,1989-02-11,平成元年02月11日,10211,
3,1989-02-23,平成元年02月23日,10223,
4,1989-03-01,平成元年03月01日,10301,
5,1989-03-03,平成元年03月03日,10303,
6,1989-03-13,平成元年03月13日,10313,
7,1989-03-21,平成元年03月21日,10321,
8,1989-03-31,平成元年03月31日,10331,
9,1989-04-27,平成元年04月27日,10427,
10,1989-04-29,平成元年04月29日,10429,
11,1989-05-01,平成元年05月01日,10501,
12,1989-05-13,平成元年05月13日,10513,
13,1989-05-29,平成元年05月29日,10529,
14,1989-05-31,平成元年05月31日,10531,
15,1989-06-01,平成元年06月01日,10601,
16,1989-06-07,平成元年06月07日,10607,
17,1989-06-13,平成元年06月13日,10613,
18,1989-06-27,平成元年06月27日,10627,
19,1989-07-09,平成元年07月09日,10709,
20,1989-07-11,平成元年07月11日,10711,
21,1989-07-23,平成元年07月23日,10723,
22,1989-07-29,平成元年07月29日,10729,
23,1989-08-31,平成元年08月31日,10831,
24,1989-09-03,平成元年09月03日,10903,
25,1989-09-09,平成元年09月09日,10909,
26,1989-10-03,平成元年10月03日,11003,
27,1989-10-27,平成元年10月27日,11027,
28,1989-11-13,平成元年11月13日,11113,
29,1989-11-17,平成元年11月17日,11117,同じ日付を西暦で表した19891117も素数。
30,1989-11-19,平成元年11月19日,11119,
31,1989-12-13,平成元年12月13日,11213,同じ日付を西暦で表した19891213も素数。
32,1990-01-01,平成2年01月01日,20101,
33,1990-01-07,平成2年01月07日,20107,
34,1990-01-13,平成2年01月13日,20113,
35,1990-01-17,平成2年01月17日,20117,
36,1990-01-23,平成2年01月23日,20123,同じ日付を西暦で表した19900123も素数。
37,1990-01-29,平成2年01月29日,20129,
38,1990-02-01,平成2年02月01日,20201,
39,1990-02-19,平成2年02月19日,20219,
40,1990-03-23,平成2年03月23日,20323,
41,1990-03-27,平成2年03月27日,20327,
42,1990-04-07,平成2年04月07日,20407,
43,1990-04-11,平成2年04月11日,20411,
44,1990-05-07,平成2年05月07日,20507,
45,1990-05-09,平成2年05月09日,20509,
46,1990-05-21,平成2年05月21日,20521,
47,1990-06-11,平成2年06月11日,20611,
48,1990-06-27,平成2年06月27日,20627,同じ日付を西暦で表した19900627も素数。
49,1990-07-07,平成2年07月07日,20707,
50,1990-07-17,平成2年07月17日,20717,同じ日付を西暦で表した19900717も素数。
51,1990-07-19,平成2年07月19日,20719,
52,1990-07-31,平成2年07月31日,20731,
53,1990-08-07,平成2年08月07日,20807,
54,1990-08-09,平成2年08月09日,20809,
55,1990-09-03,平成2年09月03日,20903,
56,1990-09-21,平成2年09月21日,20921,
57,1990-09-29,平成2年09月29日,20929,
58,1990-10-01,平成2年10月01日,21001,
59,1990-10-11,平成2年10月11日,21011,
60,1990-10-13,平成2年10月13日,21013,
61,1990-10-17,平成2年10月17日,21017,
